,date,team_x,actual_x,prediction_x,opponent_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner,bet,return
50,2016-01-02,Saracens,1,1,Leicester,W,home,1.21,4.46,0,0,Leicester,Saracens,L,away,4.46,1.21,True,True,True,10,12.1
51,2016-01-02,Newcastle,1,0,Bath,W,home,3.31,1.34,0,1,Bath,Newcastle,L,away,1.34,3.31,False,True,False,10,0.0
52,2016-01-03,Worcester,0,0,Harlequins,L,home,2.72,1.48,1,1,Harlequins,Worcester,W,away,1.48,2.72,True,True,True,10,14.8
53,2016-01-09,Leicester,1,1,Northampton,W,home,1.37,3.18,0,0,Northampton,Leicester,L,away,3.18,1.37,True,True,True,10,13.700000000000001
54,2016-01-09,Exeter,1,1,Gloucester,W,home,1.34,3.41,0,0,Gloucester,Exeter,L,away,3.41,1.34,True,True,True,10,13.4
55,2016-01-10,Wasps,1,1,Worcester,W,home,1.1,6.85,0,0,Worcester,Wasps,L,away,6.85,1.1,True,True,True,10,11.0
56,2016-01-10,London Irish,1,1,Newcastle,W,home,1.41,3.04,0,0,Newcastle,London Irish,L,away,3.04,1.41,True,True,True,10,14.1
57,2016-01-29,Northampton,0,1,Wasps,L,home,1.27,3.89,1,0,Wasps,Northampton,W,away,3.89,1.27,False,True,False,10,0.0
58,2016-01-30,Sale,1,1,London Irish,W,home,1.21,4.48,0,0,London Irish,Sale,L,away,4.48,1.21,True,True,True,10,12.1
59,2016-01-30,Gloucester,0,0,Leicester,L,home,1.58,2.5,1,1,Leicester,Gloucester,W,away,2.5,1.58,True,True,False,10,25.0
60,2016-01-30,Saracens,1,1,Bath,W,home,1.22,4.38,0,0,Bath,Saracens,L,away,4.38,1.22,True,True,True,10,12.2
61,2016-01-31,Newcastle,1,0,Harlequins,W,home,2.47,1.57,0,1,Harlequins,Newcastle,L,away,1.57,2.47,False,True,False,10,0.0
62,2016-01-31,Worcester,0,0,Exeter,L,home,3.24,1.36,1,1,Exeter,Worcester,W,away,1.36,3.24,True,True,True,10,13.600000000000001
63,2016-02-05,Bath,0,1,Gloucester,L,home,1.35,3.3,1,0,Gloucester,Bath,W,away,3.3,1.35,False,True,False,10,0.0
64,2016-02-06,Wasps,1,1,Newcastle,W,home,1.17,5.07,0,0,Newcastle,Wasps,L,away,5.07,1.17,True,True,True,10,11.7
65,2016-02-06,Harlequins,0,0,Northampton,L,home,1.77,2.12,1,1,Northampton,Harlequins,W,away,2.12,1.77,True,True,False,10,21.200000000000003
66,2016-02-06,Leicester,0,1,Sale,L,home,1.34,3.36,1,0,Sale,Leicester,W,away,3.36,1.34,False,True,False,10,0.0
67,2016-02-07,Exeter,0,1,Saracens,L,home,1.41,3.1,1,0,Saracens,Exeter,W,away,3.1,1.41,False,True,False,10,0.0
68,2016-02-12,Newcastle,1,0,Leicester,W,home,2.69,1.48,0,1,Leicester,Newcastle,L,away,1.48,2.69,False,True,False,10,0.0
69,2016-02-13,Sale,1,0,Exeter,W,home,2.06,1.81,0,1,Exeter,Sale,L,away,1.81,2.06,False,True,False,10,0.0
70,2016-02-13,Gloucester,1,1,Harlequins,W,home,1.36,3.25,0,0,Harlequins,Gloucester,L,away,3.25,1.36,True,True,True,10,13.600000000000001
71,2016-02-13,Northampton,1,1,London Irish,W,home,1.1,6.95,0,0,London Irish,Northampton,L,away,6.95,1.1,True,True,True,10,11.0
72,2016-02-14,Saracens,0,1,Wasps,L,home,1.49,2.68,1,0,Wasps,Saracens,W,away,2.68,1.49,False,True,False,10,0.0
73,2016-02-20,Worcester,1,0,Sale,W,home,2.33,1.64,0,1,Sale,Worcester,L,away,1.64,2.33,False,True,False,10,0.0
74,2016-02-20,Saracens,1,1,Gloucester,W,home,1.3,3.62,0,0,Gloucester,Saracens,L,away,3.62,1.3,True,True,True,10,13.0
